arm,config,model,n_features,AUC,F1_binary,F1_macro,Recall,Precision,Avg_Prec
W6 only,full,LR,68,0.8076,0.5208,0.679,0.6939,0.4168,0.5394
W6 only,full,RF,68,0.8106,0.5277,0.6911,0.6531,0.4427,0.5476
W6 only,full,XGB,68,0.804,0.5191,0.6895,0.6152,0.4489,0.5388
W6 only,full,LGBM,68,0.7875,0.5099,0.6842,0.6006,0.443,0.5309
W6 only,no_cesd,LR,66,0.7546,0.4606,0.6264,0.6735,0.35,0.457
W6 only,no_cesd,RF,66,0.7605,0.4754,0.6563,0.5918,0.3973,0.4595
W6 only,no_cesd,XGB,66,0.7329,0.455,0.647,0.5452,0.3904,0.4358
W6 only,no_cesd,LGBM,66,0.7386,0.4373,0.6336,0.5335,0.3704,0.4437
W6 only,health_only,LR,12,0.7125,0.4391,0.6177,0.6152,0.3414,0.3692
W6 only,health_only,RF,12,0.7208,0.4409,0.6208,0.6093,0.3455,0.3724
W6 only,health_only,XGB,12,0.7132,0.4398,0.6177,0.6181,0.3414,0.3612
W6 only,health_only,LGBM,12,0.7139,0.444,0.6193,0.6297,0.3429,0.3639
W6 only,function_cog,LR,8,0.72,0.451,0.6186,0.6647,0.3413,0.4133
W6 only,function_cog,RF,8,0.72,0.4552,0.6209,0.6735,0.3438,0.402
W6 only,function_cog,XGB,8,0.7022,0.442,0.6166,0.6327,0.3396,0.3867
W6 only,function_cog,LGBM,8,0.7176,0.4545,0.6227,0.6618,0.346,0.3889
W6 only,socioeconomic,LR,12,0.6899,0.3947,0.5723,0.6064,0.2925,0.3512
W6 only,socioeconomic,RF,12,0.687,0.409,0.6084,0.5277,0.3339,0.378
W6 only,socioeconomic,XGB,12,0.6639,0.3892,0.5947,0.5044,0.3168,0.3617
W6 only,socioeconomic,LGBM,12,0.658,0.3843,0.5913,0.4985,0.3126,0.3621
W7 only,full,LR,68,0.8212,0.5413,0.7016,0.6589,0.4593,0.5973
W7 only,full,RF,68,0.8203,0.549,0.7086,0.6531,0.4736,0.577
W7 only,full,XGB,68,0.796,0.5255,0.7008,0.5714,0.4864,0.5633
W7 only,full,LGBM,68,0.7918,0.5413,0.7104,0.5918,0.4988,0.5706
W7 only,no_cesd,LR,66,0.7684,0.4816,0.648,0.6676,0.3766,0.4785
W7 only,no_cesd,RF,66,0.7692,0.4866,0.6675,0.5831,0.4175,0.4818
W7 only,no_cesd,XGB,66,0.7501,0.4478,0.6458,0.519,0.3938,0.4469
W7 only,no_cesd,LGBM,66,0.7419,0.4593,0.6572,0.5102,0.4177,0.4446
W7 only,health_only,LR,12,0.7448,0.4614,0.6278,0.6706,0.3517,0.4142
W7 only,health_only,RF,12,0.7453,0.4586,0.6268,0.6618,0.3509,0.4183
W7 only,health_only,XGB,12,0.7297,0.4627,0.6369,0.6327,0.3647,0.4008
W7 only,health_only,LGBM,12,0.7304,0.4535,0.6204,0.6676,0.3433,0.4151
W7 only,function_cog,LR,8,0.7117,0.4357,0.6259,0.5627,0.3554,0.396
W7 only,function_cog,RF,8,0.7123,0.4385,0.6311,0.551,0.3642,0.4098
W7 only,function_cog,XGB,8,0.7061,0.433,0.6259,0.551,0.3566,0.3898
W7 only,function_cog,LGBM,8,0.7077,0.4329,0.629,0.5364,0.3629,0.392
W7 only,socioeconomic,LR,12,0.6768,0.4,0.5776,0.6093,0.2977,0.3332
W7 only,socioeconomic,RF,12,0.6781,0.3949,0.6032,0.4927,0.3294,0.3571
W7 only,socioeconomic,XGB,12,0.6663,0.3857,0.5958,0.4869,0.3193,0.3474
W7 only,socioeconomic,LGBM,12,0.6641,0.3702,0.5825,0.4781,0.302,0.3404
W6+W7,full,LR,138,0.8349,0.5591,0.711,0.6968,0.4668,0.6173
W6+W7,full,RF,138,0.839,0.5725,0.7246,0.6735,0.4978,0.6144
W6+W7,full,XGB,138,0.8288,0.5789,0.7361,0.6152,0.5466,0.6188
W6+W7,full,LGBM,138,0.8273,0.5554,0.7212,0.5918,0.5232,0.6117
W6+W7,no_cesd,LR,133,0.7677,0.4696,0.6371,0.6647,0.3631,0.4729
W6+W7,no_cesd,RF,133,0.7728,0.508,0.6826,0.6006,0.4402,0.4969
W6+W7,no_cesd,XGB,133,0.7429,0.4613,0.6568,0.5219,0.4134,0.4607
W6+W7,no_cesd,LGBM,133,0.7384,0.445,0.6468,0.5015,0.4,0.4493
W6+W7,health_only,LR,24,0.7454,0.4582,0.6278,0.656,0.3521,0.4363
W6+W7,health_only,RF,24,0.7453,0.4636,0.6324,0.6589,0.3576,0.4351
W6+W7,health_only,XGB,24,0.715,0.4372,0.6229,0.5831,0.3497,0.3901
W6+W7,health_only,LGBM,24,0.7092,0.4554,0.6299,0.6327,0.3557,0.3914
W6+W7,function_cog,LR,17,0.7288,0.4541,0.6328,0.6122,0.3608,0.4205
W6+W7,function_cog,RF,17,0.7239,0.443,0.6272,0.5889,0.355,0.4141
W6+W7,function_cog,XGB,17,0.7072,0.423,0.6224,0.5248,0.3543,0.387
W6+W7,function_cog,LGBM,17,0.7143,0.4165,0.6149,0.5306,0.3427,0.389
W6+W7,socioeconomic,LR,24,0.689,0.4031,0.5802,0.6122,0.3004,0.3604
W6+W7,socioeconomic,RF,24,0.6913,0.4182,0.6211,0.5102,0.3543,0.3829
W6+W7,socioeconomic,XGB,24,0.6778,0.3945,0.6014,0.4985,0.3263,0.3776
W6+W7,socioeconomic,LGBM,24,0.6747,0.4081,0.6075,0.5277,0.3327,0.376
