feature,in_model
age_w6,True
sex_w6,True
nonwhite_w6,True
marstat_w6,True
couple_w6,True
srh_hrs_w6,True
llsill_w6,True
hlimwrk_w6,True
hemobwa_w6,True
hemobsi_w6,True
hemobch_w6,True
hemobcs_w6,True
hemobcl_w6,True
hemobst_w6,True
hemobre_w6,True
hemobpu_w6,True
hemobli_w6,True
hemobpi_w6,True
hemob96_w6,True
headldr_w6,True
headlwa_w6,True
headlba_w6,True
headlea_w6,True
headlbe_w6,True
headlwc_w6,True
headlma_w6,True
headlda_w6,True
headlpr_w6,True
headlsh_w6,True
headlph_w6,True
headlco_w6,True
headlme_w6,True
headlho_w6,True
headlmo_w6,True
headl96_w6,True
memtotb_w6,True
execnn_w6,True
ecpos_w6,True
qual3_w6,True
findiff_w6,True
ndepriv_w6,True
lackresb_w6,True
famtype_w6,True
tenure_w6,True
nsibs_w6,True
ngrandch_w6,True
smokerstat_w6,True
cesd_sc_w6,True
cesd_na_w6,True
Hehelf_w6,True
Heill_w6,True
HeActa_w6,True
HeActb_w6,True
HeActc_w6,True
hediabp_w6,True
hediadi_w6,True
hediami_w6,True
hediast_w6,True
hediahf_w6,True
hediaar_w6,True
hediaan_w6,True
scint_w6,True
chinhh_w6,True
chouthh_w6,True
totwq5_bu_s_w6,True
age_w7,True
sex_w7,True
nonwhite_w7,True
marstat_w7,True
couple_w7,True
srh_hrs_w7,True
llsill_w7,True
hlimwrk_w7,True
hemobwa_w7,True
hemobsi_w7,True
hemobch_w7,True
hemobcs_w7,True
hemobcl_w7,True
hemobst_w7,True
hemobre_w7,True
hemobpu_w7,True
hemobli_w7,True
hemobpi_w7,True
hemob96_w7,True
headldr_w7,True
headlwa_w7,True
headlba_w7,True
headlea_w7,True
headlbe_w7,True
headlwc_w7,True
headlma_w7,True
headlda_w7,True
headlpr_w7,True
headlsh_w7,True
headlph_w7,True
headlco_w7,True
headlme_w7,True
headlho_w7,True
headlmo_w7,True
headl96_w7,True
memtotb_w7,True
execnn_w7,True
ecpos_w7,True
qual3_w7,True
findiff_w7,True
lackresb_w7,True
famtype_w7,True
tenure_w7,True
nsibs_w7,True
ngrandch_w7,True
smokerstat_w7,True
cesd_sc_w7,True
cesd_na_w7,True
Hehelf_w7,True
Heill_w7,True
HeActa_w7,True
HeActb_w7,True
HeActc_w7,True
hediabp_w7,True
hediadi_w7,True
hediami_w7,True
hediast_w7,True
hediahf_w7,True
hediaar_w7,True
hediaan_w7,True
scint_w7,True
chinhh_w7,True
chouthh_w7,True
totwq5_bu_s_w7,True
mobility_count_w6,True
mobility_count_w7,True
adl_count_w6,True
adl_count_w7,True
iadl_count_w6,True
iadl_count_w7,True
functional_burden_w6,True
functional_burden_w7,True
cesd_change,True
mobility_change,True
