arm,model,config,AUC,F1_binary,F1_macro,Recall,Precision,Avg_Prec
W6 only,LR (baseline),full,0.8076,0.5208,0.679,0.6939,0.4168,0.5394
W6 only,RF (tuned),full,0.8155,0.5298,0.6916,0.6618,0.4416,0.5509
W6 only,XGB (tuned),full,0.8165,0.5336,0.6885,0.7055,0.4291,0.5574
W6 only,LGBM (tuned),full,0.8192,0.5323,0.6834,0.7318,0.4183,0.5652
W7 only,LR (baseline),full,0.8212,0.5413,0.7016,0.6589,0.4593,0.5973
W7 only,RF (tuned),full,0.8241,0.5452,0.7036,0.6676,0.4608,0.5939
W7 only,XGB (tuned),full,0.8188,0.5381,0.7017,0.6385,0.465,0.5964
W7 only,LGBM (tuned),full,0.8231,0.5397,0.6982,0.6735,0.4503,0.5947
W6+W7,LR (baseline),full,0.8349,0.5591,0.711,0.6968,0.4668,0.6173
W6+W7,RF (tuned),full,0.8483,0.5819,0.7273,0.7143,0.491,0.6345
W6+W7,XGB (tuned),full,0.8438,0.5851,0.7341,0.6764,0.5156,0.6323
W6+W7,LGBM (tuned),full,0.843,0.5771,0.7181,0.758,0.4659,0.6278
